prompt_class,layer,head,mean_forman_curvature_mean,mean_forman_curvature_std,mean_forman_curvature_median,density_mean,density_std,density_median,n_edges_mean,n_edges_std,n_edges_median,lcc_size_mean,lcc_size_std,lcc_size_median,row_entropy_mean_mean,row_entropy_mean_std,row_entropy_mean_median,avg_shortest_path_lcc_mean,avg_shortest_path_lcc_std,avg_shortest_path_lcc_median,mean_forman_curvature_ci_lo,mean_forman_curvature_ci_hi,density_ci_lo,density_ci_hi,n_edges_ci_lo,n_edges_ci_hi,lcc_size_ci_lo,lcc_size_ci_hi,row_entropy_mean_ci_lo,row_entropy_mean_ci_hi,avg_shortest_path_lcc_ci_lo,avg_shortest_path_lcc_ci_hi
minimal_pair,23,8,32.23733134882325,17.410886218488976,34.97880149314447,0.43130203130203126,0.0351635676454586,0.44040404040404035,54.4,15.130543061414992,50.5,11.7,1.766981104093143,11.0,1.0989055223916977,0.11802115815099941,1.1452031915838068,1.3202716971464048,0.17216257234695262,1.2667652757483499,21.51341571480968,42.060227170590636,0.41148439060939057,0.45278535353535354,46.0,63.6,10.7,12.8,1.0261274878347024,1.1688830634964094,1.216726693663477,1.4265647589716677
minimal_pair,23,9,36.41654318770158,13.858929631754505,36.871833204386235,0.43569819069819066,0.04096349429558349,0.454040404040404,54.7,14.134669748136632,51.5,11.7,1.766981104093143,11.0,1.1040777688836771,0.11744885074980892,1.1165271465594953,1.3033574758205138,0.20379966029483013,1.2250430075156418,27.726505228986035,44.39539962934892,0.41149444999445,0.4595775613275613,46.5,63.0,10.7,12.8,1.03632913081317,1.1745739047871615,1.1851752604825687,1.428645116074605
minimal_pair,23,10,35.608466251183465,16.288301916476236,39.67318431279978,0.43630869130869127,0.03726372410561147,0.44999999999999996,54.9,14.670075361466658,51.0,11.7,1.766981104093143,11.0,1.0850834705641987,0.12624450924957425,1.0919964130108173,1.2589688639039833,0.2205888173065234,1.2341273983703722,24.075749081168926,43.714746846723116,0.413500444000444,0.4575777972027972,46.6,63.802499999999995,10.7,12.8,1.0096238729276013,1.1615058917768497,1.1171603662920653,1.3960938591997702
minimal_pair,23,11,31.058710617999303,19.819090039037185,33.762390775901,0.4323026973026973,0.041515923300033945,0.43787878787878787,54.3,14.69731645951434,50.5,11.7,1.766981104093143,11.0,1.1101778022731392,0.12305008977494973,1.0709931463257878,1.338919149933515,0.1873956598004249,1.3357372543041546,18.11057880581098,41.3307043240767,0.40545833333333337,0.45512337662337665,46.197500000000005,63.6,10.7,12.8,1.038688460856567,1.187372357404355,1.216865652267041,1.4567723655229854
minimal_pair,23,12,13.681764062145396,21.458512849648496,13.424688999079338,0.3990559440559441,0.037480108491917574,0.3944444444444445,50.4,14.523544103741804,48.0,11.7,1.766981104093143,11.0,1.0078760559220918,0.15333620713759874,1.028706535926232,1.1975286294067604,0.21721641319297516,1.2349998543271459,0.9153433739923321,25.968610775116918,0.37881805694305687,0.4212662337662338,42.5,59.302499999999995,10.7,12.8,0.9176680151456363,1.1006418882730546,1.05994228062441,1.322699712818974
minimal_pair,23,13,27.1718969465063,17.85738929950985,25.135583318461,0.4263220113220113,0.04474056912811125,0.43030303030303024,53.4,13.376596477928656,50.5,11.7,1.766981104093143,11.0,1.0627797435515332,0.13131871932865857,1.0600711529071516,1.2318508788561444,0.21302503324964556,1.2315522349915118,16.142609682271235,37.87898263662738,0.39988901376401376,0.453435606060606,45.8,61.7,10.7,12.8,0.9849959094987247,1.142227475659513,1.1030802582148143,1.358555739021793
semantic_abstract,0,0,33.95452071209062,7.189067669022277,31.50449140167641,0.49444444444444446,0.005856069741052562,0.49444444444444446,41.8,4.0221608343995605,44.0,9.7,0.4830458915396481,10.0,1.1973280164930555,0.02774025003155258,1.1893412272135415,1.7748249179293392,0.10003637920976287,1.7798231991384132,30.285226307032485,38.806285607019944,0.49111111111111116,0.49777777777777776,39.2975,43.80749999999999,9.4,9.902499999999998,1.183518575032552,1.21624020046658,1.7101939366449328,1.8318313548233642
semantic_abstract,0,1,-63.77525017556684,51.412970672689035,-51.16273989882099,0.1680555555555555,0.027192916954793353,0.1666666666666666,14.2,2.6583202716502514,14.0,9.7,0.4830458915396481,10.0,0.1430255677964952,0.053374540691622625,0.13890997568766272,0.1299259431717208,0.059254051134168526,0.1326374564108439,-95.40797190552438,-34.21572384170453,0.15304861111111107,0.18583333333333327,12.7,15.902499999999998,9.4,9.902499999999998,0.11519745005501637,0.17440451383590694,0.09668643917781237,0.16150848168168402
semantic_abstract,0,2,38.87722234458043,6.037919111878931,39.727325397090176,0.5,0.0,0.5,42.3,4.347413023856831,45.0,9.7,0.4830458915396481,10.0,1.19813232421875,0.06578526975638342,1.2275017632378473,1.5700823086611417,0.11347401417694526,1.598001224290924,35.284908261432236,42.33114403986042,0.5,0.5,39.6,44.12249999999998,9.4,9.902499999999998,1.154902852376302,1.2372792392306857,1.4987255160180013,1.640293206076666
semantic_abstract,0,3,39.52172241281181,6.217462597424142,39.776590838894876,0.5,0.0,0.5,42.3,4.347413023856831,45.0,9.7,0.4830458915396481,10.0,1.1883490668402779,0.05988302687733051,1.1923489040798612,1.6542142634423862,0.1042104389809426,1.6768146117413307,35.737382875199685,43.05988935249627,0.5,0.5,39.6,44.12249999999998,9.4,9.902499999999998,1.15216547648112,1.2226607428656684,1.588672908874996,1.7098156828707864
semantic_abstract,0,4,8.028021041373231,9.175617075883169,8.759438496504446,0.4263888888888888,0.012913264519427176,0.42638888888888893,36.0,3.0912061651652345,37.0,9.7,0.4830458915396481,10.0,1.0134562174479167,0.036537360434674496,1.0097588433159723,1.4841635813393823,0.09600398438912539,1.490313727794139,2.778935394419191,13.343387919228611,0.4186111111111111,0.4341666666666667,34.0,37.7,9.4,9.902499999999998,0.9927584330240886,1.0356503804524742,1.432319526566535,1.5382882243865408
