prompt_class,layer,head,mean_forman_curvature_mean,mean_forman_curvature_std,mean_forman_curvature_median,density_mean,density_std,density_median,n_edges_mean,n_edges_std,n_edges_median,lcc_size_mean,lcc_size_std,lcc_size_median,row_entropy_mean_mean,row_entropy_mean_std,row_entropy_mean_median,avg_shortest_path_lcc_mean,avg_shortest_path_lcc_std,avg_shortest_path_lcc_median,mean_forman_curvature_ci_lo,mean_forman_curvature_ci_hi,density_ci_lo,density_ci_hi,n_edges_ci_lo,n_edges_ci_hi,lcc_size_ci_lo,lcc_size_ci_hi,row_entropy_mean_ci_lo,row_entropy_mean_ci_hi,avg_shortest_path_lcc_ci_lo,avg_shortest_path_lcc_ci_hi
descriptive_baseline,11,11,31.65036734060434,17.054221335179793,35.66614899019338,0.4377272727272727,0.0386385092161893,0.4507575757575757,50.8,3.966526608171604,50.5,11.3,0.48304589153964794,11.0,1.045590372898362,0.09375512929439418,1.0642092943191528,1.4996181219844082,0.18050514262268194,1.497900102705569,18.859737360391758,40.45944431515548,0.4102992424242424,0.45818181818181813,48.597500000000004,53.4,11.0,11.6,0.9810598333166404,1.0968630080900408,1.4057162257795957,1.6094250762272029
logical_relational,8,0,72.16939220790572,27.465909057590945,62.74241819003802,0.4939684240767832,0.009442622036687522,0.5,90.9,43.06442202612784,77.5,13.8,3.1198290551460235,13.0,1.4943707212784685,0.13582456463649314,1.455581730270719,2.007133877360498,0.18258556735864387,1.9575421437174465,58.09790239205478,88.20104940121193,0.48766983446550005,0.4990476190476191,70.0,116.5,12.2,15.6,1.4227506766644689,1.5793415008888725,1.911619804486847,2.114571666594672
logical_relational,8,1,52.5967479463701,16.440557569694725,57.82885149587106,0.43519650971663354,0.04570211402367942,0.4480019980019979,77.3,27.980350247986532,72.0,13.8,3.1198290551460235,13.0,1.1514003918434583,0.18950721290050151,1.2150830073932712,1.4200543411487394,0.37689272827461934,1.5245119537090353,42.84543939205418,61.47261453863865,0.40779476672278525,0.45954828504828504,62.6925,94.0,12.2,15.6,1.041650909426441,1.2576137756249546,1.2064305076755464,1.6233273079152815
logical_relational,8,2,72.80182547815147,29.387857483099054,66.096532726156,0.4928725780583366,0.010956007108128135,0.5,90.6,42.4531113897046,78.5,13.8,3.1198290551460235,13.0,1.5168113552575166,0.18473897253797258,1.506725437782861,1.9366007930493268,0.3008519814692522,1.9794165519069116,57.894637732279044,91.72078279758185,0.48629212123445864,0.49869281045751634,69.9,115.7075,12.2,15.6,1.4110356193937554,1.6250361238429851,1.758386076188628,2.1085713214975157
logical_relational,8,3,71.44139080109657,17.239250716717592,66.56021454811805,0.48536606668185617,0.026920371553211225,0.5,87.9,36.972812834417795,78.5,13.8,3.1198290551460235,13.0,1.4363770188237373,0.1553624452033417,1.4415647918944594,1.8222952236365306,0.24203709561373726,1.8419063654217542,61.732307305302335,81.69341281113844,0.468053286625655,0.4990476190476191,69.39750000000001,109.5025,12.2,15.6,1.3431229122873725,1.5261611204128056,1.6806513010813227,1.9532142061959135
logical_relational,8,4,32.856543766306636,21.923234629659948,37.28717551462502,0.40763269925808626,0.05220802496146603,0.4090909090909091,71.6,24.65855722552405,63.5,13.8,3.1198290551460235,13.0,1.1378246041616322,0.0748031915599444,1.1278634343100222,1.8500180241905053,0.2596071934710589,1.804957225380215,19.391298866429732,44.65026520619237,0.37803354226612745,0.4386136757978863,59.4,86.1,12.2,15.6,1.096003045397531,1.183955374083096,1.6963898409170728,2.0054658156082077
logical_relational,8,5,47.95331316908094,16.318763737681092,44.85022842950033,0.42912618856891294,0.04372546369823816,0.4333333333333333,76.7,29.24247291564484,70.0,13.8,3.1198290551460235,13.0,1.2959058582495804,0.11623168512507707,1.2949848035448475,2.1468376998228322,0.24187789072940774,2.2079680879067207,39.49269506476194,58.24165389240524,0.4039212871751571,0.4542178238428238,61.394999999999996,94.3025,12.2,15.6,1.2285931812184543,1.363606660448829,2.006267108316755,2.2868769552819845
logical_relational,8,6,65.36563348146043,18.410077958203882,67.44282244952296,0.4684792245937756,0.03159585239323593,0.48418248418248416,84.5,34.84011098336705,76.5,13.8,3.1198290551460235,13.0,1.3786486537270215,0.15832951954928476,1.3749571325687262,1.7590113734000752,0.2965547563243545,1.7657472292076373,54.433710295503495,75.44326110980849,0.44942953267063174,0.4853584356819651,67.2975,104.80499999999999,12.2,15.6,1.2896877457178517,1.4722224958214043,1.585151404861248,1.9299995819914761
logical_relational,8,7,19.990918026197097,12.65352041575268,16.679053926980256,0.3579392588835313,0.052785322163983184,0.3397435897435897,62.8,22.28502237428139,54.5,13.8,3.1198290551460235,13.0,0.9342355321961107,0.1019223310691884,0.9184610973511423,1.8067413924303803,0.3486335088441819,1.7731431686050845,12.382181048257207,27.70010125736617,0.32869643230866136,0.3902987415061718,51.7975,76.5025,12.2,15.6,0.8756715641551496,1.000227541312703,1.5947876973864836,2.006335074936738
logical_relational,8,8,71.41182227728522,17.750587069442634,72.29371415732636,0.48731604652657284,0.02546465400903847,0.5,88.4,37.66578170051846,78.0,13.8,3.1198290551460235,13.0,1.4530878257330018,0.15705533031886962,1.4469911908353126,1.8492148679194684,0.24088617956615221,1.8401892270060856,61.296692542654256,81.76426584662482,0.47017543859649125,0.5,69.595,110.4,12.2,15.6,1.366451742440859,1.5433841555441903,1.719033813076272,1.994041701033006
logical_relational,8,9,72.91457749511328,32.69738401567477,62.501389856255344,0.4986205710354318,0.0033739975390508535,0.5,92.2,44.80277769166649,78.5,13.8,3.1198290551460235,13.0,1.5346257451702512,0.17507747399017362,1.5034579373114592,1.9532740042605496,0.23979440187233594,1.9713689217382147,56.679690876234005,91.96166672524254,0.49651530787753695,0.5,70.2,118.60749999999999,12.2,15.6,1.4428137422574723,1.6374292640826402,1.81577845262323,2.0948375521386455
logical_relational,8,10,69.30547367701844,24.747153374310074,61.827604014855865,0.4928580810314556,0.012964211558162343,0.5,90.4,41.56173453764626,78.5,13.8,3.1198290551460235,13.0,1.527018683426099,0.15657669479627695,1.5120542153611884,1.966552701538965,0.2585750775897484,1.9255164157422286,56.41277163255428,84.80640840035954,0.4849633441893504,0.4992424242424242,69.9975,114.41,12.2,15.6,1.4399602862825214,1.6197240915797535,1.8294886291230106,2.1181261331187184
